Ime,Leto,Velikost,Cena,Regija
"LJ. BEŽIGRAD, ŽUP. JAMA",1980,128.6,450000.0,ljubljana-mesto
LJ. CENTER,2005,29.0,220000.0,ljubljana-mesto
LJ. CENTER,1993,29.6,145000.0,ljubljana-mesto
LJ. CENTER,1910,33.0,139000.0,ljubljana-mesto
LJ. CENTER,1983,33.3,180000.0,ljubljana-mesto
LJ. CENTER,1904,34.8,119000.0,ljubljana-mesto
LJ. CENTER,1785,35.3,199000.0,ljubljana-mesto
LJ. CENTER,2005,41.24,229000.0,ljubljana-mesto
LJ. CENTER,1986,42.15,350000.0,ljubljana-mesto
LJ. CENTER,1700,43.67,250000.0,ljubljana-mesto
LJ. CENTER,1993,44.0,206000.0,ljubljana-mesto
LJ. CENTER,1920,44.5,235000.0,ljubljana-mesto
LJ. CENTER,1921,45.1,212000.0,ljubljana-mesto
LJ. CENTER,1978,47.2,270000.0,ljubljana-mesto
LJ. CENTER,1922,48.0,279000.0,ljubljana-mesto
LJ. CENTER,1922,48.0,279000.0,ljubljana-mesto
LJ. CENTER,1850,48.9,239000.0,ljubljana-mesto
LJ. CENTER,1898,49.8,250000.0,ljubljana-mesto
LJ. CENTER,1898,49.8,250000.0,ljubljana-mesto
LJ. CENTER,1970,52.5,225000.0,ljubljana-mesto
LJ. CENTER,1970,52.5,226000.0,ljubljana-mesto
LJ. CENTER,1902,53.3,230000.0,ljubljana-mesto
LJ. CENTER,1920,53.9,182000.0,ljubljana-mesto
LJ. CENTER,1920,53.9,189000.0,ljubljana-mesto
LJ. CENTER,1896,54.7,401000.0,ljubljana-mesto
LJ. CENTER,1959,56.5,239000.0,ljubljana-mesto
LJ. CENTER,1895,59.4,198000.0,ljubljana-mesto
LJ. CENTER,1937,60.0,222000.0,ljubljana-mesto
LJ. CENTER,1700,65.4,194900.0,ljubljana-mesto
LJ. CENTER,1650,66.0,275000.0,ljubljana-mesto
LJ. CENTER,2006,67.2,315000.0,ljubljana-mesto
LJ. CENTER,1960,68.2,247000.0,ljubljana-mesto
LJ. CENTER,1961,68.4,280000.0,ljubljana-mesto
LJ. CENTER,1962,70.0,4990.0,ljubljana-mesto
LJ. CENTER,1986,70.0,295000.0,ljubljana-mesto
LJ. CENTER,1897,70.0,199000.0,ljubljana-mesto
LJ. CENTER,1893,73.3,390000.0,ljubljana-mesto
LJ. CENTER,2011,74.0,400000.0,ljubljana-mesto
LJ. CENTER,2012,74.55,394000.0,ljubljana-mesto
LJ. CENTER,2012,74.55,394000.0,ljubljana-mesto
LJ. CENTER,2023,76.0,419000.0,ljubljana-mesto
LJ. CENTER,1921,76.4,430000.0,ljubljana-mesto
LJ. CENTER,1999,77.0,490000.0,ljubljana-mesto
